Date,DHB,Active,Recovered,Deceased,Total
2020-04-16,Auckland,60,123,0,183
2020-04-16,West Coast,2,2,1,5
2020-04-16,Waitemata,105,100,0,205
2020-04-16,Wairarapa,0,8,0,8
2020-04-16,Waikato,106,76,0,182
2020-04-16,Taranaki,3,11,0,14
2020-04-16,Tairawhiti,4,0,0,4
2020-04-16,Southern,74,139,0,213
2020-04-16,South Canterbury,8,6,0,14
2020-04-16,Whanganui,3,4,0,7
2020-04-16,Northland,18,8,0,26
2020-04-16,Mid Central,10,19,0,29
2020-04-16,Lakes,6,9,0,15
2020-04-16,Hutt Valley,7,13,0,20
2020-04-16,Hawke's Bay,26,15,0,41
2020-04-16,Counties Manukau,48,61,0,109
2020-04-16,Capital and Coast,43,46,2,91
2020-04-16,Canterbury,67,70,6,143
2020-04-16,Bay of Plenty,15,29,0,44
2020-04-16,Nelson Marlborough,18,30,0,48
2020-04-16,Total,623,769,9,1401
2020-04-17,Auckland,53,131,0,184
2020-04-17,West Coast,3,2,1,6
2020-04-17,Waitemata,98,107,0,205
2020-04-17,Wairarapa,0,8,0,8
2020-04-17,Waikato,102,80,1,183
2020-04-17,Taranaki,3,11,0,14
2020-04-17,Tairawhiti,3,1,0,4
2020-04-17,Southern,67,147,0,214
2020-04-17,South Canterbury,8,6,0,14
2020-04-17,Whanganui,3,4,0,7
2020-04-17,Northland,17,9,0,26
2020-04-17,Mid Central,10,19,0,29
2020-04-17,Lakes,6,9,0,15
2020-04-17,Hutt Valley,7,13,0,20
2020-04-17,Hawke's Bay,23,18,0,41
2020-04-17,Counties Manukau,42,67,0,109
2020-04-17,Capital and Coast,44,46,2,92
2020-04-17,Canterbury,64,75,7,146
2020-04-17,Bay of Plenty,14,30,0,44
2020-04-17,Nelson Marlborough,15,33,0,48
2020-04-17,Total,582,816,11,1409
2020-04-18,Auckland,49,136,0,185
2020-04-18,West Coast,2,2,1,5
2020-04-18,Waitemata,86,120,0,206
2020-04-18,Wairarapa,0,8,0,8
2020-04-18,Waikato,98,84,1,183
2020-04-18,Taranaki,3,11,0,14
2020-04-18,Tairawhiti,3,1,0,4
2020-04-18,Southern,64,152,0,216
2020-04-18,South Canterbury,9,6,0,15
2020-04-18,Whanganui,4,4,0,8
2020-04-18,Northland,17,10,0,27
2020-04-18,Mid Central,11,20,0,31
2020-04-18,Lakes,5,11,0,16
2020-04-18,Hutt Valley,7,13,0,20
2020-04-18,Hawke's Bay,21,20,0,41
2020-04-18,Counties Manukau,32,78,0,110
2020-04-18,Capital and Coast,42,49,2,93
2020-04-18,Canterbury,64,76,7,147
2020-04-18,Bay of Plenty,13,32,0,45
2020-04-18,Nelson Marlborough,14,34,0,48
2020-04-18,Total,544,867,11,1422
2020-04-19,Auckland,46,139,0,185
2020-04-19,West Coast,1,3,1,5
2020-04-19,Waitemata,84,127,0,211
2020-04-19,Wairarapa,0,8,0,8
2020-04-19,Waikato,90,93,1,184
2020-04-19,Taranaki,3,11,0,14
2020-04-19,Tairawhiti,4,0,0,4
2020-04-19,Southern,62,154,0,216
2020-04-19,South Canterbury,9,6,0,15
2020-04-19,Whanganui,1,7,0,8
2020-04-19,Northland,17,10,0,27
2020-04-19,Mid Central,6,25,0,31
2020-04-19,Lakes,5,11,0,16
2020-04-19,Hutt Valley,7,13,0,20
2020-04-19,Hawke's Bay,19,22,0,41
2020-04-19,Counties Manukau,27,83,0,110
2020-04-19,Capital and Coast,42,49,2,93
2020-04-19,Canterbury,64,79,7,150
2020-04-19,Bay of Plenty,13,32,0,45
2020-04-19,Nelson Marlborough,9,39,0,48
2020-04-19,Total,509,911,11,1431
2020-04-20,Auckland,43,142,0,185
2020-04-20,West Coast,1,3,1,5
2020-04-20,Waitemata,74,138,0,212
2020-04-20,Wairarapa,0,8,0,8
2020-04-20,Waikato,87,97,1,185
2020-04-20,Taranaki,3,11,0,14
2020-04-20,Tairawhiti,3,1,0,4
2020-04-20,Southern,45,170,1,216
2020-04-20,South Canterbury,10,6,0,16
2020-04-20,Whanganui,1,7,0,8
2020-04-20,Northland,17,11,0,28
2020-04-20,Mid Central,4,27,0,31
2020-04-20,Lakes,5,11,0,16
2020-04-20,Hutt Valley,5,15,0,20
2020-04-20,Hawke's Bay,17,24,0,41
2020-04-20,Counties Manukau,25,86,0,111
2020-04-20,Capital and Coast,29,62,2,93
2020-04-20,Canterbury,65,81,7,153
2020-04-20,Bay of Plenty,13,33,0,46
2020-04-20,Nelson Marlborough,7,41,0,48
2020-04-20,Total,454,974,12,1440
2020-04-21,Auckland,41,145,0,186
2020-04-21,West Coast,1,3,1,5
2020-04-21,Waitemata,71,140,1,212
2020-04-21,Wairarapa,0,8,0,8
